address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,austin,78725,4.0,3.0,2277,2003,209900,"['""zestimate"":221486']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$22']","2018 $3,179 -- $191,209 +10%","$230,257 (+4.0 %)",https://www.zillow.com/homedetails/4108-Sojourner-St-Austin-TX-78725/64661010_zpid/
,austin,78753,4.0,2.0,1780,1971,294990,"['""zestimate"":276197']","['""rentZestimate"":1595']",single family,[],"2018 $2,979 -- $173,335 +10%","$290,559 (+5.2 %)",https://www.zillow.com/homedetails/10109-Woodstock-Dr-Austin-TX-78753/29425770_zpid/
,austin,78727,3.0,2.0,1659,1979,275000,"['""zestimate"":272082']","['""rentZestimate"":1699']",single family,[],"2018 $2,044 -- $200,083 +10%","$280,462 (+3.1 %)",https://www.zillow.com/homedetails/2013-Elysian-Flds-Austin-TX-78727/29443004_zpid/
,austin,78723,2.0,,900,2003,199000,"['""zestimate"":200311']","['""rentZestimate"":1335']",single family,[],,"-$8,906 (-4.3 %)",https://www.zillow.com/homedetails/7405-Langston-Dr-2-Austin-TX-78723/2086929876_zpid/
,manor,78653,3.0,3.0,1856,2006,170000,"['""zestimate"":240910']","['""rentZestimate"":1775']",single family,[],,"+$1,645 (+0.7 %)",https://www.zillow.com/homedetails/12313-Drummond-Dr-Manor-TX-78653/2091886781_zpid/
,austin,78745,4.0,2.0,1484,1980,299750,"['""zestimate"":315739']","['""rentZestimate"":1745']",single family,[],"2018 $2,441 -- $248,644 +10%","$327,737 (+3.8 %)",https://www.zillow.com/homedetails/3324-Clarksburg-Dr-Austin-TX-78745/29490239_zpid/
,austin,78754,3.0,2.0,1401,2018,238900,"['""zestimate"":278763']","['""rentZestimate"":1700']",single family,"['HOA Fee"",""factValue"":""$35']",,"+$11,657 (+4.4 %)",https://www.zillow.com/homedetails/6501-Graymont-Dr-Austin-TX-78754/2086710527_zpid/
,austin,78747,3.0,2.0,1352,2014,230000,"['""zestimate"":238622']","['""rentZestimate"":1590']",single family,"['HOA Fee"",""factValue"":""$25']","2018 $4,198 -- $211,000 +11.3%","$250,314 (+4.9 %)",https://www.zillow.com/homedetails/6617-Sunderland-Trl-Austin-TX-78747/121655342_zpid/
,austin,78724,4.0,3.0,1952,2003,209900,"['""zestimate"":213332']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$30']","2018 $2,186 -- $137,684 +10%","$221,652 (+3.9 %)",https://www.zillow.com/homedetails/15000-Stave-Oak-Ln-Austin-TX-78724/63835432_zpid/
,austin,78727,2.0,2.0,888,1984,223000,"['""zestimate"":253036']","['""rentZestimate"":1250']",single family,[],"2018 $4,430 -- $221,324 +16.3%","$264,220 (+4.4 %)",https://www.zillow.com/homedetails/12708-Heinemann-Dr-Austin-TX-78727/29446038_zpid/
,austin,78729,4.0,2.0,1608,1982,310000,"['""zestimate"":287229']","['""rentZestimate"":1695']",single family,[],"2018 $5,765 -- $246,970 +5.1%","$296,420 (+3.2 %)",https://www.zillow.com/homedetails/12900-Water-Mill-Cv-Austin-TX-78729/29549534_zpid/
,austin,78753,3.0,2.0,1533,1970,245000,"['""zestimate"":259604']","['""rentZestimate"":1750']",single family,[],"2018 $5,715 -- $289,334 +12.1%","$269,884 (+4.0 %)",https://www.zillow.com/homedetails/9706-Halifax-Dr-Austin-TX-78753/29424140_zpid/
,austin,78725,4.0,3.0,1878,2014,260000,"['""zestimate"":264279']","['""rentZestimate"":1625']",single family,"['HOA Fee"",""factValue"":""$21']","2018 $5,170 -- $254,088 +5%","+$27,237 (+11.5 %)",https://www.zillow.com/homedetails/710-Hatton-Hill-Ct-Austin-TX-78725/125918097_zpid/
,austin,78744,3.0,2.0,982,1973,230000,"['""zestimate"":215565']","['""rentZestimate"":1400']",single family,[],"2018 $2,360 -- $140,570 +31.9%","$224,921 (+4.3 %)",https://www.zillow.com/homedetails/2320-Deadwood-Dr-Austin-TX-78744/29466240_zpid/
,pflugerville,78660,,,,,188990,"['""zestimate"":185610']","['""rentZestimate"":1450']","mon - mon: 12pm - 6pm, tue - sat: 10am - 6pm, sun - sun: 12pm - 6pm",[],,+$981 (+0.5 %),https://www.zillow.com/community/fort-dessau/2087757392_zpid/
,austin,78745,3.0,2.0,988,1977,265000,"['""zestimate"":275025']","['""rentZestimate"":1650']",single family,[],"2018 $5,148 -- $254,607 +9.5%","$286,136 (+4.0 %)",https://www.zillow.com/homedetails/5200-Hedgewood-Dr-Austin-TX-78745/29488002_zpid/
,austin,78744,4.0,3.0,2425,2006,265000,"['""zestimate"":278571']","['""rentZestimate"":1850']",single family,"['HOA Fee"",""factValue"":""$16']","2018 $5,611 -- $259,289 +2.3%","$291,302 (+4.6 %)",https://www.zillow.com/homedetails/8700-Meridian-Oak-Ln-Austin-TX-78744/70343544_zpid/
,austin,78753,3.0,2.0,1500,1981,265000,"['""zestimate"":270245']","['""rentZestimate"":1600']",single family,[],"2018 $3,162 -- $182,949 +10%","$284,541 (+5.3 %)",https://www.zillow.com/homedetails/9821-Teasdale-Ter-Austin-TX-78753/29424307_zpid/
,austin,78748,4.0,3.0,2102,2001,325000,"['""zestimate"":315328']","['""rentZestimate"":1850']",single family,"['HOA Fee"",""factValue"":""$55']","2018 $5,810 -- $280,980 +7.1%","$328,635 (+4.2 %)",https://www.zillow.com/homedetails/11020-Mint-Julep-Dr-Austin-TX-78748/58317644_zpid/
,austin,78747,4.0,3.0,1586,2002,230000,"['""zestimate"":233649']","['""rentZestimate"":1695']",single family,[],"2018 $2,640 -- $155,416 +10%","$243,579 (+4.2 %)",https://www.zillow.com/homedetails/6824-Broad-Brook-Dr-Austin-TX-78747/58311715_zpid/
