address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
"8321 Snow Egret Way,", Fort Worth,['76118'],4 bd,3 ba,"2,348 sqft",2015.0,"$349,900","$349,412","$2,500/mo",Single Family,HOA fees$0/mo,"2018$7,162(+0.2%)$300,000(+1.1%)",(+3.0 %),https://www.zillow.com/homedetails/8321-Snow-Egret-Way-Fort-Worth-TX-76118/163411520_zpid/
"4632 Pershing Ave,", Fort Worth,['76107'],2 bd,1 ba,"1,064 sqft",1954.0,"$224,900","$241,842","$1,500/mo",Single Family,HOA fees$0/mo,"2018$2,724(+1.7%)$233,301(+11.8%)",(+2.3 %),https://www.zillow.com/homedetails/4632-Pershing-Ave-Fort-Worth-TX-76107/28951880_zpid/
"1400 Roma Ln,", Fort Worth,['76134'],3 bd,2 ba,"1,372 sqft",1956.0,"$129,900","$135,288","$1,395/mo",Single Family,HOA fees$0/mo,"2018$275(+4.7%)$97,120(+12.1%)",(+5.7 %),https://www.zillow.com/homedetails/1400-Roma-Ln-Fort-Worth-TX-76134/28999698_zpid/
,fort worth,76103,3.0,2.0,1656,1924.0,160000,"['""zestimate"":167060']","['""rentZestimate"":1400']",single family,[],"2018 $1,942 +10.5% $125,910 +22.9%","$175,079 (+4.8 %)",https://www.zillow.com/homedetails/4903-Norma-St-Fort-Worth-TX-76103/54041121_zpid/
"3812 Lost Creek Blvd,", Aledo,['76008'],4 bd,3 ba,"2,669 sqft",1987.0,"$299,900","$307,261","$2,000/mo",Single Family,HOA fees$0/mo,"2018$3,581(+1.6%)$286,666(+8.7%)",(+2.3 %),https://www.zillow.com/homedetails/3812-Lost-Creek-Blvd-Aledo-TX-76008/29024544_zpid/
"5211 Bonnell Ave,", Fort Worth,['76107'],4 bd,2 ba,-- sqft,1925.0,"$107,000","$111,405","$1,095/mo",Multi Family,HOA fees$0/mo,"2018$708(+32.9%)$25,743(+34.5%)",(+4.3 %),https://www.zillow.com/homedetails/5211-Bonnell-Ave-Fort-Worth-TX-76107/28953494_zpid/
"12800 Gallant Ct,", Fort Worth,['76244'],5 bd,4 ba,"3,745 sqft",2007.0,"$320,000","$383,033","$2,750/mo",Single Family,HOA fees$0/mo,"2018$4,476(-48.4%)$367,570(+3.3%)",(+2.9 %),https://www.zillow.com/homedetails/12800-Gallant-Ct-Fort-Worth-TX-76244/89538409_zpid/
"11924 Grizzly Bear Dr,", Fort Worth,['76244'],4 bd,3 ba,"1,987 sqft",2004.0,"$249,900","$239,165","$1,695/mo",Single Family,HOA fees$0/mo,"2018$2,638(-46.8%)$236,298(+6.6%)",(+6.0 %),https://www.zillow.com/homedetails/11924-Grizzly-Bear-Dr-Fort-Worth-TX-76244/70557610_zpid/
"2065 Leonard Ranch Rd,", Fort Worth,['76134'],3 bd,2 ba,"2,092 sqft",2015.0,"$245,000","$241,587","$1,617/mo",Single Family,HOA fees$0/mo,"2018$4,985(+3%)$196,793(+3.9%)",,https://www.zillow.com/homedetails/2065-Leonard-Ranch-Rd-Fort-Worth-TX-76134/163420079_zpid/
,fort worth,76110,3.0,,1010,1949.0,100000,"['""zestimate"":101994']","['""rentZestimate"":1140']",single family,[],"2018 $151 +6.3% $39,828 +9.3%","$102,116 (+0.1 %)",https://www.zillow.com/homedetails/1008-E-Shaw-St-Fort-Worth-TX-76110/29038950_zpid/
