address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
,atlanta,30349,,,,2019.0,299990,"['""zestimate"":283912']","['""rentZestimate"":1870']",single family,"['HOA Fee"",""factValue"":""$54']",,"-$6,489 (-2.2 %)",https://www.zillow.com/homedetails/5959-Wolf-Creek-Dr-Atlanta-GA-30349/2090090670_zpid/
,atlanta,30331,5.0,3.0,2989,2007.0,315000,"['""zestimate"":306822']","['""rentZestimate"":1965']",single family,"['HOA Fee"",""factValue"":""$50']","2017 $3,340 -28.9% $100,800 --","$318,328 (+3.8 %)",https://www.zillow.com/homedetails/3078-Dawson-Ln-SW-Atlanta-GA-30331/88063213_zpid/
,atlanta,30318,3.0,3.0,1792,1960.0,159000,"['""zestimate"":157124']","['""rentZestimate"":1295']",single family,[],"2017 $1,714 +95% $8,240 --","-$7,823 (-4.7 %)",https://www.zillow.com/homedetails/740-Skipper-Dr-NW-Atlanta-GA-30318/35871127_zpid/
,atlanta,30318,3.0,4.0,1608,2019.0,319900,"['""zestimate"":308181']","['""rentZestimate"":1885']",single family,[],,Unavailable,https://www.zillow.com/homedetails/2492-Perry-Blvd-NW-Atlanta-GA-30318/2086207477_zpid/
,atlanta,30331,3.0,4.0,1400,2005.0,160000,"['""zestimate"":140746']","['""rentZestimate"":1250']",townhouse,[],"2017 $1,626 -4% $38,120 -10.7%","+$21,758 (+18.3 %)",https://www.zillow.com/homedetails/635-Providence-Pl-SW-Atlanta-GA-30331/71752064_zpid/
,atlanta,30311,3.0,2.0,2224,1945.0,299000,"['""zestimate"":292328']","['""rentZestimate"":1500']",single family,[],"2017 $1,477 +146.8% $31,280 +101%","$326,238 (+11.6 %)",https://www.zillow.com/homedetails/1700-Avon-Ave-SW-Atlanta-GA-30311/35849057_zpid/
,atlanta,30331,4.0,3.0,3200,1961.0,160000,"['""zestimate"":187335']","['""rentZestimate"":1455']",single family,[],"2017 $1,055 +154% $26,360 --","+$24,009 (+14.7 %)",https://www.zillow.com/homedetails/2677-The-Fontainebleau-SW-Atlanta-GA-30331/35869199_zpid/
,atlanta,30324,2.0,2.0,1165,1988.0,200000,"['""zestimate"":190679']","['""rentZestimate"":1712']",condo,[],,Unavailable,https://www.zillow.com/homedetails/970-Sidney-Marcus-Blvd-NE-UNIT-1310-Atlanta-GA-30324/2086230877_zpid/
,fulton,30309,2.0,2.0,1028,1989.0,305000,"['""zestimate"":303391']","['""rentZestimate"":1675']",single family,"['HOA Fee"",""factValue"":""$33']",,"-$38,423 (-11.2 %)",https://www.zillow.com/homedetails/1280-W-Peachtree-St-Fulton-GA-30309/2096452530_zpid/
,atlanta,30303,2.0,2.0,1260,1995.0,199000,"['""zestimate"":200376']","['""rentZestimate"":1390']",condo,"['HOA Fee"",""factValue"":""$49']","2017 $1,498 +372.2% $35,240 --","$218,189 (+8.9 %)",https://www.zillow.com/homedetails/20-Marietta-St-NW-Atlanta-GA-30303/35888475_zpid/
,atlanta,30315,4.0,2.0,1750,2008.0,295000,"['""zestimate"":191045']","['""rentZestimate"":1275']",single family,[],"2017 $890 +86.9% $9,600 --","$213,072 (+11.5 %)",https://www.zillow.com/homedetails/76-Brown-Ave-SE-Atlanta-GA-30315/35883061_zpid/
,atlanta,30324,2.0,2.0,1132,2006.0,300000,"['""zestimate"":492034']","['""rentZestimate"":2070']",condo,[],,"-$50,208 (-9.3 %)",https://www.zillow.com/homedetails/711-Cosmopolitan-Dr-NE-711-Atlanta-GA-30324/2087583439_zpid/
,atlanta,30331,3.0,3.0,1885,2015.0,170000,"['""zestimate"":173442']","['""rentZestimate"":1505']",single family,[],,"-$3,029 (-1.7 %)",https://www.zillow.com/homedetails/2301-Capella-Cir-SW-Atlanta-GA-30331/171314432_zpid/
,atlanta,30318,2.0,,916,1955.0,304500,"['""zestimate"":276765']","['""rentZestimate"":1350']",single family,[],"2017 $1,122 -1.2% $43,720 -49.2%","$290,271 (+4.9 %)",https://www.zillow.com/homedetails/1911-La-Dawn-Ln-NW-Atlanta-GA-30318/35921273_zpid/
,atlanta,30308,2.0,2.0,1288,1965.0,275000,"['""zestimate"":305569']","['""rentZestimate"":1900']",condo,[],,Unavailable,https://www.zillow.com/homedetails/620-Peachtree-St-NE-APT-413-Atlanta-GA-30308/2086410923_zpid/
,atlanta,30307,3.0,,1080,1988.0,255000,"['""zestimate"":267987']","['""rentZestimate"":1600']",single family,[],"2017 $68 +26% $94,160 +161.8%","$293,741 (+9.6 %)",https://www.zillow.com/homedetails/119-Marona-St-NE-Atlanta-GA-30307/14468853_zpid/
,atlanta,30314,4.0,2.0,1602,1949.0,229900,"['""zestimate"":199649']","['""rentZestimate"":1375']",single family,[],"2017 $1,636 +88.6% $12,480 --","$227,420 (+13.9 %)",https://www.zillow.com/homedetails/15-Gardenia-Dr-NW-Atlanta-GA-30314/35846056_zpid/
,atlanta,30310,4.0,3.0,1520,2006.0,147500,"['""zestimate"":170232']","['""rentZestimate"":1600']",single family,[],"2017 $1,980 +118% $10,000 -41.5%","$192,907 (+13.3 %)",https://www.zillow.com/homedetails/966-Mcdaniel-St-SW-Atlanta-GA-30310/69346715_zpid/
,atlanta,30311,3.0,5.0,1352,1986.0,124000,"['""zestimate"":125729']","['""rentZestimate"":1250']",condo,"['HOA Fee"",""factValue"":""$23']","2017 $1,127 -0.2% $20,720 --","-$31,976 (-20.3 %)",https://www.zillow.com/homedetails/46-Belmonte-Cir-SW-Atlanta-GA-30311/35848594_zpid/
,atlanta,30311,4.0,3.0,2718,2005.0,220000,"['""zestimate"":228719']","['""rentZestimate"":1699']",single family,[],"2017 $2,391 +89% $43,800 --","$245,118 (+7.2 %)",https://www.zillow.com/homedetails/2835-Tee-Rd-SW-Atlanta-GA-30311/82631466_zpid/
,atlanta,30305,3.0,2.0,1665,1960.0,269000,"['""zestimate"":282909']","['""rentZestimate"":2250']",condo,"['HOA Fee"",""factValue"":""$59']",,"$303,052 (+7.1 %)",https://www.zillow.com/homedetails/2632-Peachtree-Rd-NW-APT-B102-Atlanta-GA-30305/2141838105_zpid/
,atlanta,30312,3.0,3.0,1800,2001.0,239990,"['""zestimate"":244807']","['""rentZestimate"":1625']",townhouse,"['HOA Fee"",""factValue"":""$12']","2017 $2,679 +106.7% $24,040 --","$260,597 (+6.4 %)",https://www.zillow.com/homedetails/591-Cooper-St-SW-Atlanta-GA-30312/65462561_zpid/
