,address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
401,,phoenix,85016,,,,2019.0,374000,"['""zestimate"":380517']","['""rentZestimate"":1650']",condo,[],,"+$13,080 (+3.6 %)",0
402,,phoenix,85016,3.0,3.5,1596,2005.0,270000,"['""zestimate"":270599']","['""rentZestimate"":1497']",townhouse,"['HOA Fee"",""factValue"":""$120']","2018 $1,865 +4.3% $15,630 +6.9%","$280,530 (+3.7 %)",0
403,,phoenix,85083,3.0,3.0,2964,2001.0,474900,"['""zestimate"":476790']","['""rentZestimate"":2495']",single family,"['HOA Fee"",""factValue"":""$64']","2018 $3,385 +3.6% $39,230 +6.9%","$483,751 (+1.5 %)",0
404,,phoenix,85008,4.0,3.0,2032,2018.0,480000,"['""zestimate"":355324']","['""rentZestimate"":1425']",single family,[],"2018 $1,294 -2.5% $10,680 +11.3%","$370,496 (+4.3 %)",0
405,,new river,85087,4.0,4.0,2915,2012.0,460000,"['""zestimate"":436572']","['""rentZestimate"":2205']",single family,"['HOA Fee"",""factValue"":""$70']","2018 $2,707 +3.6% $32,410 +2.3%","$442,029 (+1.2 %)",0
406,,phoenix,85085,3.0,3.0,1882,2005.0,260000,"['""zestimate"":261302']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$107']","2018 $1,714 +3.6% $17,720 +7.6%","$265,378 (+1.6 %)",0
407,,phoenix,85018,3.0,3.0,1534,2017.0,375000,"['""zestimate"":326148']","['""rentZestimate"":1675']",townhouse,"['HOA Fee"",""factValue"":""$295']",,Unavailable,0
408,,phoenix,85041,3.0,2.5,2093,2002.0,224900,"['""zestimate"":227519']","['""rentZestimate"":1365']",single family,"['HOA Fee"",""factValue"":""$76']","2018 $1,516 +5.8% $13,930 +11.4%","$234,549 (+3.1 %)",0
409,,glendale,85308,4.0,4.5,3590,2006.0,349900,"['""zestimate"":354206']","['""rentZestimate"":1950']",single family,"['HOA Fee"",""factValue"":""$35']","2018 $2,509 +3.3% $29,680 +7.8%","$358,563 (+1.2 %)",0
410,,phoenix,85004,2.0,2.5,1426,2007.0,339500,"['""zestimate"":337237']","['""rentZestimate"":1925']",condo,"['HOA Fee"",""factValue"":""$678']",,"$354,133 (+5.0 %)",0
411,,cave creek,85331,2.0,2.0,1855,2018.0,459000,"['""zestimate"":456243']","['""rentZestimate"":1650']",condo,"['HOA Fee"",""factValue"":""$254']","2018 $210 +3.5% $3,210 +32.1%","-$3,408 (-0.7 %)",0
412,,phoenix,85086,4.0,2.0,2126,2003.0,385000,"['""zestimate"":351847']","['""rentZestimate"":1900']",single family,[],"2018 $2,429 +3.6% $25,930 +5.5%","$357,054 (+1.5 %)",0
413,,laveen,85339,3.0,2.0,1620,2008.0,,"['""zestimate"":215832']","['""rentZestimate"":1326']",single family,"['HOA Fee"",""factValue"":""$65']","2018 $1,589 +5.8% $13,480 +15.1%","$224,530 (+4.0 %)",0
414,,anthem,85086,3.0,2.0,1625,2004.0,263900,"['""zestimate"":268756']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$84']","2018 $1,842 +3.6% $19,570 +7.8%","$272,465 (+1.4 %)",0
415,,laveen,85339,5.0,3.0,2462,2006.0,269850,"['""zestimate"":265756']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$57']","2018 $2,080 +5.8% $17,350 +13.6%","$273,410 (+2.9 %)",0
416,,phoenix,85087,,,,,403990,"['""zestimate"":387562']","['""rentZestimate"":1665']","m:closed,tu:closed,w:12:00-06:00,th:10:00-06:00,f:10:00-06:00,sa:10:00-06:00,su:10:00-06:00",[],,"-$4,204 (-1.1 %)",0
417,,phoenix,85042,3.0,3.0,1499,2016.0,270000,"['""zestimate"":263155']","['""rentZestimate"":1450']",single family,"['HOA Fee"",""factValue"":""$144']","2018 $2,268 +7.3% $19,920 +16.3%","+$6,922 (+2.7 %)",0
418,,phoenix,85045,4.0,3.5,3125,2005.0,365000,"['""zestimate"":364038']","['""rentZestimate"":2200']",single family,"['HOA Fee"",""factValue"":""$34']","2018 $2,778 +4.8% $29,030 -1%","$373,357 (+2.6 %)",0
419,,phoenix,85045,3.0,2.0,2209,2000.0,384900,"['""zestimate"":378610']","['""rentZestimate"":1950']",single family,"['HOA Fee"",""factValue"":""$31']","2018 $2,222 -20.2% $28,130 +2.4%","$377,739 (-0.2 %)",0
